"Part";"Value";"Device";"Package";"Description";"AMBIENT_TEMPERATURE_RANGE_HIGH";"AMBIENT_TEMPERATURE_RANGE_LOW";"CENTROID_NOT_SPECIFIED";"CIIVA_IDS";"CODE__JEDEC";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"DATASHEET";"DATASHEET_VERSION";"DATA_POLARITY";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_PARAMETERS_0";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"HEIGHT";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INITIAL_ACCURACY__25DEG_C";"INTERFACE";"IOUT_IZ_MAXM_A";"IPC_LAND_PATTERN_NAME";"LEAD_FREE";"MAX_JUNCTION_TEMP";"MAX_SUPPLY_VOLTAGE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_IZ_FOR_REGULATIONUA";"MIN_SUPPLY_VOLTAGE";"MOUNTING_TECHNOLOGY";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MPN";"NUMBER_OF_CHANNELS";"NUMBER_OF_CONVERTERS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_VERSION";"PIN_0_0_7_INSIDE_EDGE";"PREFIX";"PROD_ID";"RATING";"RELEASE_DATE";"RESOLUTION";"ROHS";"SPICEPREFIX";"STANDOFF_HEIGHT";"SUB_FAMILY";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TEMP_COEFFMAXPPM_DEGREE_C";"TEMP_COEFFTYPPPM_DEGREE_C";"VALUE";"VAULT_GUID";"VAULT_REVISION";"VERIFICATION_VERSION";"VO_V";
"C1";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C2";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C3";"47u";"CAPACITOR_POL-US153CLV-0505";"153CLV-0505";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"47u";"CAPACITOR_POL-US153CLV-0505";"153CLV-0505";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"47u";"CAPACITOR_POL-US153CLV-0505";"153CLV-0505";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"47u";"CAPACITOR_POL-US153CLV-0505";"153CLV-0505";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C8";"22p";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C9";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C10";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C11";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C12";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C13";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C14";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C15";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"C16";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";"";
"D1";"1N4148";"DIODESOD-323F";"SOD-323F";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
