"Comment","Designator","Footprint","LCSC Part #","LCSC Part Type"
"100k","R1, R3, R5, R26, R27, R28","0402_R","",""
"100nF","C12, C13, C14, C15, C16, C17, C18, C19, C20, C21","0402_C","",""
"10k","R7, R8, R9, R10, R11, R12, R13, R14","0402_R","",""
"10pF","C1, C2, C3, C4, C5","0402_C","",""
"10uF","C6, C7, C8, C9, C10","A/3216-18W","",""
"1N4148","D1, D2, D3, D4","SOD-323F","",""
"1k","R19, R20, R21, R22, R23, R24, R25","0402_R","",""
"39k","R2, R4, R6","0402_R","",""
"75R","R15, R16, R17, R18","0402_R","",""
"EURO_POWER_LOCKFAT-LOCK","C11","EURO_PWR_HEADER_LOCK","",""
"IN_CUE","JP3","1X03","",""
"IN_L","JP1","1X03","",""
"IN_R","JP2","1X03","",""
"LED_CUE","JP14","1X02","",""
"LED_L","JP12","1X02","",""
"LED_R","JP13","1X02","",""
"M7","D5, D6","SMADIODE","",""
"MMBT3904","T1, T2, T3","SOT23-BEC","",""
"NE5532D","U4, U5","SOIC8","",""
"OUT_HP","JP10","1X03","",""
"OUT_L","JP8","1X03","",""
"OUT_R","JP9","1X03","",""
"POT_HPL","JP6","1X03","",""
"POT_HPR","JP7","1X03","",""
"POT_ML","JP4","1X03","",""
"POT_MR","JP5","1X03","",""
"SWITCH","JP11","1X06","",""
"TL072CD","U1, U2, U3","SOIC8","",""
