"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","11.43","29.21","Top","90"
"C2","11.43","19.05","Top","90"
"C3","11.43","39.37","Top","90"
"C4","26.67","27.94","Top","90"
"C5","26.67","38.10","Top","90"
"C6","26.67","43.18","Top","180"
"C7","26.67","33.02","Top","180"
"C8","8.89","8.89","Top","180"
"C9","41.91","15.24","Top","180"
"C10","41.91","12.70","Top","0"
"C12","21.59","41.91","Top","0"
"C13","21.59","31.75","Top","0"
"C14","21.59","21.59","Top","0"
"C15","44.45","57.15","Top","0"
"C16","44.45","48.26","Top","0"
"C17","15.24","34.29","Top","0"
"C18","15.24","24.13","Top","0"
"C19","15.24","13.97","Top","0"
"C20","38.10","49.53","Top","0"
"C21","35.56","43.18","Top","0"
"D1","46.99","38.10","Top","0"
"D2","46.99","34.29","Top","0"
"D3","46.99","24.13","Top","0"
"D4","46.99","27.94","Top","0"
"D5","41.91","19.05","Top","0"
"D6","41.91","8.89","Top","180"
"R1","8.89","38.10","Top","0"
"R2","13.97","39.37","Top","90"
"R3","8.89","27.94","Top","0"
"R4","13.97","29.21","Top","90"
"R5","8.89","17.78","Top","0"
"R6","13.97","19.05","Top","90"
"R7","30.48","38.10","Top","180"
"R8","24.13","38.10","Top","90"
"R9","30.48","27.94","Top","180"
"R10","24.13","27.94","Top","90"
"R11","34.29","45.72","Top","90"
"R12","34.29","54.61","Top","90"
"R13","36.83","45.72","Top","90"
"R14","36.83","54.61","Top","90"
"R15","48.26","45.72","Top","270"
"R16","48.26","41.91","Top","90"
"R17","48.26","54.61","Top","270"
"R18","48.26","50.80","Top","90"
"R19","50.80","38.10","Top","0"
"R20","50.80","34.29","Top","0"
"R21","50.80","27.94","Top","0"
"R22","50.80","24.13","Top","0"
"R23","21.59","50.80","Top","90"
"R24","15.24","50.80","Top","90"
"R25","27.94","50.80","Top","270"
"R26","11.43","45.72","Top","0"
"R27","17.78","45.72","Top","0"
"R28","24.13","45.72","Top","0"
"T1","12.70","49.53","Top","270"
"T2","19.05","49.53","Top","270"
"T3","25.40","49.53","Top","270"
"U1","19.05","38.10","Top","270"
"U2","19.05","27.94","Top","270"
"U3","19.05","17.78","Top","270"
"U4","41.91","44.45","Top","270"
"U5","41.91","53.34","Top","270"
