"Comment","Designator","Footprint","LCSC Part #","LCSC Part Type"
"","JP3, JP4, JP6, JP7","JP2","",""
"","JP1","1X20","",""
"","JP5","1X05","",""
"","JP2","1X09","",""
"100k","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R22, R24, R25, R28, R29, R32, R33, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R70, R72, R75, R76, R77, R80, R81, R84, R85, R86, R87, R88, R89, R90, R91, R92, R97, R98, R99, R100, R105, R106, R107, R108, R110, R111, R112, R113, R114, R115, R118, R119, R120, R121","0402_R","",""
"100nF","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C13, C14, C15, C16, C17, C18, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C45, C46, C47, C50, C51, C52, C53, C54, C58, C61, C62, C63","0402_C","",""
"10k","R109","0402_R","",""
"18pF","C43, C44","0402_C","",""
"1N4001","D1, D2","SMADIODE","",""
"200k","R21, R23, R69, R71","0402_R","",""
"20MHz","Q1","HC49UP","",""
"24k","R17, R18, R19, R20, R30, R31, R34, R35, R65, R66, R67, R68, R78, R79, R82, R83, R116, R117","0402_R","",""
"4.7nF","C11, C12, C19, C20","0402_C","",""
"43k","R93, R94, R95, R96, R101, R102, R103, R104","0402_R","",""
"470R","R122, R123, R124","0402_R","",""
"47uF","C56, C57, C59, C60","PANASONIC_C","",""
"51k","R26, R27, R73, R74","0402_R","",""
"6.8pF","C48, C49","0402_C","",""
"ATMEGA328P-AU","U23","TQFP-32","",""
"AVRISP-6","ISP1","AVRISP","",""
"EURO_POWER_LOCKFAT-LOCK","C55","EURO_PWR_HEADER_LOCK","",""
"LD117AS50TR","IC1","SOT223","",""
"LM4040AIM3-10.0","D4, D5","SOT23","",""
"LM4040AIM3-5.0","D3","SOT23","",""
"MCP4822E-SN","U19, U20, U24, U25","SOIC8","",""
"MCP4922E/SL","U6, U7, U15, U16","SO-14","",""
"MCP6002E/SN","U2, U3, U4, U5, U11, U12, U13, U14","SOIC8","",""
"OSHW-LOGOS","LOGO1","OSHW-LOGO-S","",""
"TL072AD","U1, U8, U9, U10, U17, U18, U21, U22, U26, U27, U28, U29, U30","SOIC8","",""
