"Comment","Designator","Footprint","LCSC Part #","LCSC Part Type"
"","VR1, VR2, VR3, VR4, VR5, VR6, VR7, VR8","9MM_SNAP-IN_POT","",""
"","JP1, JP2","JP2","",""
"100k","R2, R4, R6, R8, R21, R22, R24, R27, R29, R30, R31, R32, R34, R36, R38, R40, R53, R54, R55, R56, R61, R62, R63, R64, R66, R68, R70, R72, R81, R82, R83, R84, R86, R87, R88, R89","0402_R","",""
"100nF","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C23, C24, C25, C28, C29, C30, C31, C34, C35, C40, C42","0402_C","",""
"10k","R85","0402_R","",""
"10uF","C37, C38, C39, C41","A/3216-18R","",""
"15k","R9, R10, R11, R12, R41, R42, R43, R44","0402_R","",""
"1N4148W","D1, D2","SOD123","",""
"200k","R65, R67, R69, R71, R77, R78, R79, R80","0402_R","",""
"22pF","C26, C27","0402_C","",""
"300k","R23, R25, R26, R28, R57, R58, R59, R60","0402_R","",""
"33k","R73, R74, R75, R76","0402_R","",""
"4.7nF","C19, C20, C21, C22","0402_C","",""
"4051D","IC1","SO16","",""
"470R","R90","0402_R","",""
"47k","R13, R14, R15, R16, R17, R18, R19, R20, R45, R46, R47, R48, R49, R50, R51, R52","0402_R","",""
"6.8pF","C32, C33","0402_C","",""
"8MHz","X1","NX5032","",""
"91k","R1, R3, R5, R7, R33, R35, R37, R39","0402_R","",""
"AMS1117-3.3","IC2","SOT223","",""
"CORTEX_DEBUG_PTH","J17","2X5-PTH-1.27MM","",""
"EURO_POWER_LOCKFAT-LOCK","C36","EURO_PWR_HEADER_LOCK","",""
"LM4040AIM3-10.0","D3","SOT23","",""
"MCP4822E-SN","U1, U2, U9, U10","SOIC8","",""
"MCP4922E/SL","U5, U6, U13, U14","SO-14","",""
"MCP6002T-I/SN","U3, U4, U11, U12, U17, U18, U19, U20","SOIC8","",""
"OSHW-LOGOS","LOGO1","OSHW-LOGO-S","",""
"STM32F030C8T6","U21","LQFP48","",""
"TL072CD","U7, U8, U15, U16, U22","SOIC8","",""
"WQP-PJ301M-12_JACK","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J18, J19","WQP-PJ301M-12_JACK","",""
