time	V(n002)	V(n012)
0.000000000000000e+000	-2.468262e-002	-2.468262e-002
3.657142753711795e-008	-2.468168e-002	-2.468168e-002
7.314285507423590e-008	-2.468228e-002	-2.468228e-002
1.097142826113539e-007	-2.468443e-002	-2.468442e-002
1.462857101484718e-007	-2.468812e-002	-2.468810e-002
1.828571376855897e-007	-2.469337e-002	-2.469333e-002
2.194285652227077e-007	-2.470016e-002	-2.470009e-002
2.559999927598256e-007	-2.470849e-002	-2.470841e-002
5.119999855196511e-007	-2.482042e-002	-2.482013e-002
8.023807705522533e-007	-2.504842e-002	-2.504790e-002
1.383142340617458e-006	-2.572047e-002	-2.571954e-002
2.215616693440361e-006	-2.695012e-002	-2.694863e-002
3.652802573731839e-006	-2.940124e-002	-2.939872e-002
5.317869633783568e-006	-3.241996e-002	-3.241604e-002
2.281448001951005e-005	-6.489913e-002	-6.486187e-002
4.031109040523653e-005	-9.737576e-002	-9.727063e-002
5.780770079096300e-005	-1.298499e-001	-1.296423e-001
7.530431117668949e-005	-1.623214e-001	-1.619769e-001
9.280092156241597e-005	-1.947904e-001	-1.942745e-001
1.102975319481424e-004	-2.272569e-001	-2.265349e-001
1.277941423338689e-004	-2.597208e-001	-2.587583e-001
2.517789858868253e-004	-4.881715e-001	-4.845394e-001
4.997486729927382e-004	-9.296496e-001	-9.159144e-001
9.956880472045638e-004	-1.726251e+000	-1.679783e+000
1.592988459109407e-003	-2.522669e+000	-2.424287e+000
1.883420686181957e-003	-2.810151e+000	-2.683547e+000
2.089179742916387e-003	-2.948859e+000	-2.802258e+000
2.242667651009292e-003	-3.016370e+000	-2.855789e+000
2.423854503671477e-003	-3.056821e+000	-2.881377e+000
2.621679879690484e-003	-3.056099e+000	-2.866943e+000
2.848059143822418e-003	-2.989553e+000	-2.789469e+000
3.215012116337825e-003	-2.737475e+000	-2.533395e+000
3.799307023135451e-003	-2.073966e+000	-1.895784e+000
4.375225413697872e-003	-1.183540e+000	-1.069149e+000
