"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","66.04","97.79","Bottom","180"
"C2","16.51","78.74","Bottom","180"
"C3","66.04","82.55","Bottom","180"
"C4","16.51","88.90","Bottom","180"
"C5","66.04","67.31","Bottom","180"
"C6","66.04","43.18","Bottom","180"
"C7","66.04","52.07","Bottom","180"
"C8","66.04","58.42","Bottom","180"
"C9","11.43","96.52","Bottom","0"
"C10","66.04","73.66","Bottom","180"
"C11","11.43","86.36","Bottom","0"
"C12","66.04","88.90","Bottom","180"
"C13","55.88","97.79","Bottom","0"
"C14","55.88","82.55","Bottom","0"
"C15","55.88","67.31","Bottom","0"
"C16","55.88","52.07","Bottom","0"
"C17","27.94","21.59","Bottom","270"
"C18","27.94","10.16","Bottom","270"
"C19","45.72","19.05","Bottom","0"
"C20","48.26","8.89","Bottom","0"
"C21","11.43","19.05","Bottom","0"
"C22","24.13","13.97","Bottom","180"
"C23","24.13","11.43","Bottom","180"
"C24","11.43","22.86","Bottom","0"
"C25","12.70","2.54","Bottom","0"
"C26","22.86","2.54","Bottom","180"
"C27","16.51","68.58","Bottom","0"
"C28","16.51","58.42","Bottom","0"
"C29","16.51","48.26","Bottom","0"
"C30","11.43","76.20","Bottom","0"
"C31","11.43","66.04","Bottom","0"
"C32","11.43","55.88","Bottom","0"
"C34","5.08","38.10","Bottom","90"
"C35","13.97","38.10","Bottom","90"
"C36","52.07","2.54","Bottom","0"
"C37","45.72","2.54","Bottom","0"
"C38","39.37","2.54","Bottom","0"
"C39","39.37","8.89","Bottom","180"
"C40","52.07","8.89","Bottom","0"
"C41","39.37","19.05","Bottom","180"
"C42","52.07","19.05","Bottom","0"
"C43","21.59","71.12","Bottom","0"
"C44","6.35","73.66","Bottom","0"
"C45","5.08","3.81","Bottom","0"
"C46","5.08","19.05","Bottom","180"
"C47","8.89","15.24","Bottom","180"
"C48","33.02","96.52","Bottom","0"
"C49","33.02","81.28","Bottom","0"
"C50","33.02","66.04","Bottom","0"
"C51","33.02","50.80","Bottom","0"
"D1","21.59","41.91","Bottom","270"
"D2","21.59","33.02","Bottom","90"
"IC1","13.97","92.71","Bottom","270"
"IC2","66.04","92.71","Bottom","270"
"IC3","66.04","77.47","Bottom","270"
"IC4","13.97","82.55","Bottom","270"
"IC5","66.04","62.23","Bottom","270"
"IC6","66.04","46.99","Bottom","270"
"IC7","13.97","72.39","Bottom","270"
"IC8","13.97","62.23","Bottom","270"
"IC9","13.97","52.07","Bottom","270"
"IC10","5.08","11.43","Bottom","270"
"Q1","17.78","6.35","Bottom","0"
"R1","21.59","93.98","Bottom","0"
"R2","21.59","91.44","Bottom","0"
"R3","6.35","93.98","Bottom","0"
"R4","6.35","91.44","Bottom","0"
"R5","21.59","88.90","Bottom","0"
"R6","6.35","88.90","Bottom","180"
"R7","21.59","96.52","Bottom","0"
"R8","6.35","96.52","Bottom","180"
"R9","45.72","96.52","Bottom","0"
"R10","45.72","93.98","Bottom","0"
"R11","33.02","93.98","Bottom","180"
"R12","33.02","91.44","Bottom","180"
"R13","45.72","81.28","Bottom","0"
"R14","45.72","78.74","Bottom","0"
"R15","33.02","78.74","Bottom","180"
"R16","33.02","76.20","Bottom","180"
"R17","45.72","91.44","Bottom","180"
"R18","33.02","88.90","Bottom","0"
"R19","45.72","76.20","Bottom","180"
"R20","33.02","73.66","Bottom","0"
"R21","39.37","16.51","Bottom","180"
"R22","39.37","13.97","Bottom","180"
"R23","52.07","16.51","Bottom","0"
"R24","52.07","13.97","Bottom","0"
"R25","30.48","26.67","Bottom","0"
"R26","39.37","11.43","Bottom","180"
"R27","52.07","11.43","Bottom","0"
"R28","35.56","26.67","Bottom","0"
"R29","72.39","96.52","Bottom","0"
"R30","72.39","93.98","Bottom","0"
"R31","59.69","96.52","Bottom","180"
"R32","59.69","93.98","Bottom","180"
"R33","72.39","81.28","Bottom","0"
"R34","72.39","78.74","Bottom","0"
"R35","59.69","81.28","Bottom","180"
"R36","59.69","78.74","Bottom","180"
"R37","35.56","16.51","Bottom","180"
"R38","72.39","91.44","Bottom","180"
"R39","72.39","76.20","Bottom","180"
"R40","29.21","16.51","Bottom","180"
"R41","59.69","91.44","Bottom","0"
"R42","59.69","76.20","Bottom","0"
"R43","21.59","83.82","Bottom","0"
"R44","21.59","81.28","Bottom","180"
"R45","6.35","83.82","Bottom","0"
"R46","6.35","81.28","Bottom","0"
"R47","72.39","88.90","Bottom","0"
