"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","34.29","99.06","Bottom",0
"C2","45.09","93.98","Bottom",0
"C3","34.29","80.01","Bottom",0
"C4","41.91","73.66","Bottom",0
"C5","31.75","59.69","Bottom",180
"C6","40.64","30.48","Bottom",0
"C7","35.56","36.83","Bottom",180
"C8","41.91","52.07","Bottom",0
"C9","13.97","87.63","Bottom",180
"C10","13.97","66.04","Bottom",180
"C11","13.97","44.45","Bottom",180
"C12","13.97","22.86","Bottom",180
"C13","67.31","36.20","Bottom",180
"C14","66.04","57.79","Bottom",180
"C15","66.67","98.43","Bottom",180
"C16","64.77","79.38","Bottom",180
"C17","16.51","82.55","Bottom",90
"C18","16.51","60.96","Bottom",90
"C19","18.41","90.17","Bottom",90
"C20","18.41","68.58","Bottom",90
"C21","18.41","46.99","Bottom",90
"C22","18.41","25.40","Bottom",90
"C23","16.51","39.37","Bottom",90
"C24","16.51","17.78","Bottom",90
"C25","41.91","8.89","Bottom",270
"C26","52.07","21.59","Bottom",0
"C27","48.26","21.59","Bottom",180
"C28","44.45","37.47","Bottom",270
"C29","56.52","28.58","Bottom",180
"C30","45.72","27.30","Bottom",0
"C31","46.99","50.80","Bottom",0
"C32","17.78","14.61","Bottom",180
"C33","7.62","13.34","Bottom",180
"C34","12.70","9.53","Bottom",180
"C35","7.62","14.61","Bottom",0
"C37","66.04","10.16","Bottom",0
"C38","66.04","6.35","Bottom",180
"C39","33.02","3.81","Bottom",90
"C40","18.41","6.35","Bottom",90
"C41","43.18","3.81","Bottom",270
"C42","33.02","7.62","Bottom",0
"D1","65.41","13.34","Bottom",180
"D2","65.41","3.18","Bottom",0
"D3","20.32","2.54","Bottom",180
"IC1","50.16","58.42","Bottom",270
"IC2","38.10","5.08","Bottom",270
"R1","3.81","89.54","Bottom",180
"R2","3.81","90.81","Bottom",180
"R3","13.97","90.17","Bottom",0
"R4","13.97","91.44","Bottom",0
"R5","3.81","67.95","Bottom",180
"R6","3.81","69.22","Bottom",180
"R7","13.97","68.58","Bottom",0
"R8","13.97","69.85","Bottom",0
"R9","3.81","88.27","Bottom",180
"R10","13.97","88.90","Bottom",0
"R11","3.81","66.67","Bottom",180
"R12","13.97","67.31","Bottom",0
"R13","45.09","97.79","Bottom",0
"R14","34.29","96.52","Bottom",180
"R15","34.29","95.25","Bottom",180
"R16","45.09","95.25","Bottom",0
"R17","41.91","77.47","Bottom",0
"R18","31.75","76.84","Bottom",180
"R19","31.75","74.30","Bottom",180
