"Designator","Mid X","Mid Y","Layer","Rotation"
"C2","13.08","28.58","Bottom","180"
"C3","16.13","22.23","Bottom","180"
"C4","10.03","52.71","Bottom","180"
"C5","1.14","44.58","Bottom","90"
"C8","12.07","40.01","Bottom","270"
"C9","2.03","41.91","Bottom","180"
"C10","8.26","20.70","Bottom","90"
"C11","5.84","30.86","Bottom","270"
"C12","15.88","52.71","Bottom","90"
"C13","25.40","52.07","Bottom","0"
"C14","21.72","22.61","Bottom","270"
"C15","24.51","28.19","Bottom","90"
"C16","9.91","35.94","Bottom","270"
"C17","16.00","29.72","Bottom","180"
"C18","28.07","43.43","Bottom","270"
"C19","28.07","50.67","Bottom","270"
"C20","18.92","0.76","Bottom","180"
"C21","12.07","7.24","Bottom","0"
"C22","12.45","36.45","Bottom","180"
"C23","9.53","18.41","Bottom","270"
"C24","21.59","88.90","Bottom","90"
"C25","7.62","88.90","Bottom","270"
"D1","26.92","94.36","Bottom","90"
"D2","2.29","94.36","Bottom","270"
"D3","5.97","55.63","Bottom","90"
"D4","25.40","33.53","Bottom","0"
"FD1","1.27","99.06","Bottom","0"
"FD2","27.94","99.06","Bottom","0"
"FD3","1.27","1.27","Bottom","0"
"FD4","27.94","1.27","Bottom","0"
"IC1","14.61","15.37","Bottom","90"
"IC2","6.35","46.99","Bottom","180"
"IC4","14.61","3.68","Bottom","90"
"IC5","22.86","46.99","Bottom","0"
"R1","4.57","63.50","Bottom","0"
"R2","2.03","61.72","Bottom","270"
"R3","12.07","48.90","Bottom","90"
"R4","12.07","45.72","Bottom","270"
"R5","3.43","51.69","Bottom","0"
"R6","10.16","69.85","Bottom","270"
"R7","12.07","42.55","Bottom","270"
"R8","14.22","45.72","Bottom","270"
"R9","12.70","69.34","Bottom","0"
"R10","9.91","41.40","Bottom","90"
"R11","1.52","37.97","Bottom","270"
"R12","8.26","38.10","Bottom","270"
"R13","5.08","41.91","Bottom","0"
"R14","5.08","34.29","Bottom","0"
"R15","9.53","15.49","Bottom","90"
"R16","5.08","10.41","Bottom","180"
"R17","6.22","20.70","Bottom","90"
"R19","9.91","33.02","Bottom","270"
"R20","9.91","30.61","Bottom","270"
"R21","5.08","26.67","Bottom","0"
"R22","12.07","8.76","Bottom","180"
"R23","5.08","8.38","Bottom","180"
"R24","24.13","63.50","Bottom","180"
"R25","26.67","62.99","Bottom","270"
"R26","17.40","45.59","Bottom","270"
"R27","17.40","42.67","Bottom","270"
"R28","25.53","41.66","Bottom","180"
"R29","25.40","68.58","Bottom","0"
"R30","25.53","39.62","Bottom","180"
"R31","17.40","48.39","Bottom","90"
"R32","22.35","68.58","Bottom","180"
"R33","17.78","52.71","Bottom","270"
"R34","22.35","38.86","Bottom","270"
"R35","20.32","35.56","Bottom","0"
"R36","19.69","14.35","Bottom","270"
"R37","19.69","11.30","Bottom","90"
"R38","19.69","22.61","Bottom","90"
"R39","24.26","22.35","Bottom","0"
"R40","26.80","22.86","Bottom","90"
"R42","19.56","28.45","Bottom","90"
"R43","24.51","30.86","Bottom","90"
"R44","19.94","25.15","Bottom","0"
"R45","17.14","8.76","Bottom","180"
"R46","15.62","42.42","Bottom","270"
"R47","22.73","10.03","Bottom","270"
"R48","19.43","5.08","Bottom","270"
"R49","19.43","2.79","Bottom","90"
"R50","5.08","2.29","Bottom","180"
"R51","5.08","4.32","Bottom","180"
"R52","9.65","2.16","Bottom","270"
"R53","5.08","6.35","Bottom","180"
"R54","12.70","80.01","Bottom","90"
"R55","16.51","80.01","Bottom","270"
"SJ1","2.54","24.13","Bottom","180"
"SJ2","26.67","25.40","Bottom","180"
"SJ3","8.89","57.15","Bottom","0"
"SJ4","20.32","57.15","Bottom","180"
"T1","2.79","55.63","Bottom","0"
"T2","5.08","38.10","Bottom","270"
"T3","8.64","7.75","Bottom","90"
"T4","26.29","36.58","Bottom","180"
"T5","19.05","39.37","Bottom","90"
"T6","15.75","38.61","Bottom","90"
"U1","14.61","33.02","Bottom","270"
"U2","14.61","25.40","Bottom","270"
