"Comment","Designator","Footprint","LCSC Part #","LCSC Part Type"
"","LED1, LED2","SML0603","",""
"100k","VR1, VR2, VR3, VR4, VR5","9MM_SNAP-IN_POT","",""
"100k","R1, R2, R3, R18, R19, R20","0402_R","",""
"100nF","C3, C4, C5, C6, C10, C11, C12, C13","0402_C","",""
"10k","R7, R8, R9, R12, R13, R15","0402_R","",""
"10uF","C14, C15","PANASONIC_C","",""
"1N4001","D1, D2","SMADIODE","",""
"1k","R17","0402_R","",""
"1k","R25","RTRIM64W","",""
"1k5","R24","0402_R","",""
"1nF","C1, C2","0402_C","",""
"220R","R5, R6, R10, R11","0402_R","",""
"220k","R21","0402_R","",""
"3904","T1, T2","SOT23-BEC","",""
"4.7nF","C8","0402_C","",""
"470k","R22","0402_R","",""
"470nF","C7","0402_C","",""
"47k","R16","0402_R","",""
"4k7","R4, R14, R23","0402_R","",""
"EURO_POWER_LOCKFAT-LOCK","C9","EURO_PWR_HEADER_LOCK","",""
"LM13700M","IC1","SO16","",""
"NE5532D","U3","SOIC8","",""
"TL072AD","U1, U2","SOIC8","",""
"WQP-PJ301M-12_JACK","J1, J2, J3, J4","WQP-PJ301M-12_JACK","",""
