"Comment","Designator","Footprint","LCSC Part #","LCSC Part Type"
"100k","R11, R12, R20, R24, R25, R26","0402_R","",""
"100k","R15","RTRIM64W","",""
"100nF","C8, C9, C10, C11","0402_C","",""
"10k","VR1, VR2, VR3, VR4","9MM_SNAP-IN_POT","",""
"10k","R16","0402_R","",""
"10k","R21","RTRIM64W","",""
"10uF","C6, C7, C12, C13","PANASONIC_C","",""
"1M","R14","0402_R","",""
"1N4001","D1, D2","SMADIODE","",""
"1k","R13, R19","0402_R","",""
"1k","R23","RTRIM64W","",""
"1k2","R22","0402_R","",""
"1k5","R9, R10","0402_R","",""
"220R","R3, R4, R5, R6, R7, R8","0402_R","",""
"220uF","C5","PANASONIC_C","",""
"470R","R1, R2, R28","0402_R","",""
"47nF","C1, C2, C3, C4","0402_C","",""
"4k7","R17, R27","0402_R","",""
"6k8","R18","0402_R","",""
"BC847BS","Q1, Q2, Q3, Q4, Q5, Q6","SOT363_PHILIPS","",""
"BC857","T2","SOT23-BEC","",""
"EURO_POWER_LOCKFAT-LOCK","C14","EURO_PWR_HEADER_LOCK","",""
"TL072AD","U1, U2","SOIC8","",""
"WQP-PJ301M-12_JACK","J1, J2, J3, J4","WQP-PJ301M-12_JACK","",""
