"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","17.78","49.53","Top","270"
"C2","17.78","44.45","Top","270"
"C3","17.78","39.37","Top","270"
"C4","17.78","34.29","Top","270"
"C5","13.97","16.51","Top","90"
"C6","15.24","70.48","Top","90"
"C7","25.40","34.61","Top","0"
"C8","3.18","81.60","Top","90"
"C9","22.23","82.87","Top","90"
"C10","6.99","70.80","Top","90"
"C11","26.04","74.93","Top","270"
"C12","5.08","93.98","Top","270"
"C13","26.67","93.98","Top","90"
"D1","6.35","85.09","Top","90"
"D2","26.67","85.09","Top","270"
"Q1","15.24","54.61","Top","90"
"Q2","15.24","49.53","Top","90"
"Q3","15.24","44.45","Top","90"
"Q4","15.24","39.37","Top","90"
"Q5","15.24","34.29","Top","90"
"Q6","23.50","49.21","Top","90"
"R1","15.24","31.75","Top","90"
"R2","19.69","34.29","Top","90"
"R3","12.70","54.61","Top","90"
"R4","12.70","49.53","Top","90"
"R5","12.70","44.45","Top","90"
"R6","12.70","39.37","Top","90"
"R7","12.70","34.29","Top","90"
"R8","12.70","31.75","Top","90"
"R9","22.23","71.12","Top","90"
"R10","24.77","71.12","Top","90"
"R11","26.04","71.12","Top","90"
"R12","20.96","71.12","Top","90"
"R13","19.69","71.12","Top","270"
"R14","23.50","71.12","Top","90"
"R16","11.43","71.12","Top","90"
"R17","25.08","52.71","Top","90"
"R18","22.54","52.71","Top","270"
"R19","21.59","49.53","Top","270"
"R20","21.59","46.99","Top","90"
"R22","27.94","41.91","Top","90"
"R24","27.94","44.45","Top","270"
"R25","26.67","44.45","Top","270"
"R26","26.67","41.91","Top","90"
"R27","12.38","74.30","Top","90"
"R28","24.13","39.37","Top","90"
"T2","24.13","43.18","Top","270"
"U1","5.08","76.20","Top","0"
"U2","22.86","76.20","Top","0"
